"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "CSS", "JSON", "YAML", "XML", "TypeScript JSX", "comment", "blank", "total"
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\api\horarios\disponibles\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\api\ranking\obtener\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\api\reservas\crear\route.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 3, 6, 35
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\cuartos\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 350, 10, 33, 393
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\fonts.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\globals.css", "CSS", 0, 0, 0, 804, 0, 0, 0, 0, 17, 153, 974
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 32
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 3, 57
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\blog-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 3, 15, 166
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\contact-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 242, 13, 17, 272
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\corporate-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 303, 13, 17, 333
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\escape-rooms.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 320, 5, 29, 354
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\faq.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 156, 3, 13, 172
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\gallery-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 19, 17, 265
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 11, 31, 272
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 1, 19, 163
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\how-it-works.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 6, 18, 172
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\promotions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 8, 91
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\reservation-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 2, 6, 46
"c:\Bytecore\Clientes\Kevin Escape Room\V1.0\components\home\reservation-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
